Name,Group,Affiliation,count,lat,lng
S Miksch,Europe,TU Wien,20,48.5007,15.8559
M Sedlmair,Europe,University of Stuttgart,19,48.7815,9.1736
D Ebert,North America,Purdue University,18,40.4237,-86.9212
R Laramee,North America,University of Nottingham,17,52.9548,-1.1581
A Vilanova,Europe,Eindhoven University of Technology,15,51.4486,5.4907
B Preim,Europe,University of Magdeburg,15,52.1397,11.6474
M Pohl,Europe,TU Wien,15,47.7626,16.495
G Scheuermann,Europe,Leipzig University,13,51.3397,12.3731
R Westermann,Europe,Technical University of Munich,13,48.1497,11.5679
A Knoll,North America,University of Utah,13,40.7649,-111.8421
J Beyer,North America,Harvard University,13,42.377,-71.1167
K Matkovic,Europe,VRVis Research Center,12,47.7626,15.2
G Andrienko,Europe,Fraunhofer Institute IAIS,12,50.7492,7.202
H Theisel,Europe,University of Magdeburg,12,52.1397,11.6474
S Bruckner,Europe,University of Bergen,12,60.3879,5.3218
W Aigner,Europe,King's College London,12,51.5115,-0.116
